10
10
Move disc 1 from 2 to 3
Move disc 2 from 2 to 1
Move disc 1 from 3 to 1
Move disc 3 from 2 to 3
Move disc 1 from 1 to 2
Move disc 2 from 1 to 3
Move disc 1 from 2 to 3
Move disc 4 from 2 to 1
Move disc 1 from 3 to 1
Move disc 2 from 3 to 2
Move disc 1 from 1 to 2
Move disc 3 from 3 to 1
Move disc 1 from 2 to 3
Move disc 2 from 2 to 1
Move disc 1 from 3 to 1
Move disc 5 from 2 to 3
Move disc 1 from 1 to 2
Move disc 2 from 1 to 3
Move disc 1 from 2 to 3
Move disc 3 from 1 to 2
Move disc 1 from 3 to 1
Move disc 2 from 3 to 2
Move disc 1 from 1 to 2
Move disc 4 from 1 to 3
Move disc 1 from 2 to 3
Move disc 2 from 2 to 1
Move disc 1 from 3 to 1
Move disc 3 from 2 to 3
Move disc 1 from 1 to 2
Move disc 2 from 1 to 3
Move disc 1 from 2 to 3
